Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
GECT,24.08.2018,"545,00",,,"545,00","0,00",,,
GECT,27.08.2018,"545,00",,,"545,00","0,00",,,
GECT,29.08.2018,"545,00",,,"545,00","0,00",,,
GECT,30.08.2018,"545,00",,,"545,00","0,00",,,
GECT,31.08.2018,"545,00",,,"545,00","0,00",,,
GECT,03.09.2018,"545,00",,,"545,00","0,00",,,
GECT,04.09.2018,"545,00",,,"545,00","0,00",,,
GECT,05.09.2018,"545,00",,,"545,00","0,00",,,
GECT,06.09.2018,"545,00",,,"545,00","0,00",,,
GECT,07.09.2018,"545,00",,,"545,00","0,00",,,
GECT,10.09.2018,"545,00",,,"545,00","0,00",,,
GECT,11.09.2018,"545,00",,,"545,00","0,00",,,
GECT,12.09.2018,"545,00",,,"545,00","0,00",,,
GECT,13.09.2018,"545,00",,,"545,00","0,00",,,
GECT,14.09.2018,"500,00","500,00","500,00","500,00","-8,26",1.155,577.5,577.5
GECT,17.09.2018,"500,00",,,"500,00","0,00",,,
GECT,18.09.2018,"500,00",,,"500,00","0,00",,,
GECT,19.09.2018,"500,00",,,"500,00","0,00",,,
GECT,20.09.2018,"500,00",,,"500,00","0,00",,,
GECT,21.09.2018,"500,00",,,"500,00","0,00",,,
GECT,24.09.2018,"500,00",,,"500,00","0,00",,,
GECT,25.09.2018,"500,00",,,"500,00","0,00",,,
GECT,26.09.2018,"500,00",,,"500,00","0,00",,,
GECT,27.09.2018,"500,00",,,"500,00","0,00",,,
GECT,28.09.2018,"500,00",,,"500,00","0,00",,,
GECT,01.10.2018,"500,00",,,"500,00","0,00",,,
GECT,02.10.2018,"500,00",,,"500,00","0,00",,,
GECT,03.10.2018,"500,00",,,"500,00","0,00",,,
GECT,04.10.2018,"500,00",,,"500,00","0,00",,,
GECT,05.10.2018,"500,00",,,"500,00","0,00",,,
GECT,08.10.2018,"500,00",,,"500,00","0,00",,,
GECT,09.10.2018,"500,00",,,"500,00","0,00",,,
GECT,10.10.2018,"500,00",,,"500,00","0,00",,,
GECT,12.10.2018,"500,00",,,"500,00","0,00",,,
GECT,15.10.2018,"500,00",,,"500,00","0,00",,,
GECT,16.10.2018,"500,00",,,"500,00","0,00",,,
GECT,17.10.2018,"500,00",,,"500,00","0,00",,,
GECT,18.10.2018,"500,00",,,"500,00","0,00",,,
GECT,19.10.2018,"500,00",,,"500,00","0,00",,,
GECT,22.10.2018,"500,00",,,"500,00","0,00",,,
GECT,24.10.2018,"500,00",,,"500,00","0,00",,,
GECT,25.10.2018,"500,00",,,"500,00","0,00",,,
GECT,26.10.2018,"500,00",,,"500,00","0,00",,,
GECT,29.10.2018,"500,00",,,"500,00","0,00",,,
GECT,30.10.2018,"500,00",,,"500,00","0,00",,,
GECT,31.10.2018,"500,00",,,"500,00","0,00",,,
GECT,01.11.2018,"500,00",,,"500,00","0,00",,,
GECT,02.11.2018,"500,00",,,"500,00","0,00",,,
GECT,05.11.2018,"500,00",,,"500,00","0,00",,,
GECT,06.11.2018,"500,00",,,"500,00","0,00",,,
GECT,07.11.2018,"500,00",,,"500,00","0,00",,,
GECT,08.11.2018,"500,00",,,"500,00","0,00",,,
GECT,09.11.2018,"500,00",,,"500,00","0,00",,,
GECT,12.11.2018,"500,00",,,"500,00","0,00",,,
GECT,13.11.2018,"500,00",,,"500,00","0,00",,,
GECT,14.11.2018,"500,00",,,"500,00","0,00",,,
GECT,15.11.2018,"500,00",,,"500,00","0,00",,,
GECT,16.11.2018,"500,00",,,"500,00","0,00",,,
GECT,19.11.2018,"500,00",,,"500,00","0,00",,,
GECT,20.11.2018,"500,00",,,"500,00","0,00",,,
GECT,21.11.2018,"500,00",,,"500,00","0,00",,,
GECT,22.11.2018,"500,00",,,"500,00","0,00",,,
GECT,23.11.2018,"500,00",,,"500,00","0,00",,,
GECT,26.11.2018,"500,00",,,"500,00","0,00",,,
GECT,27.11.2018,"500,00",,,"500,00","0,00",,,
GECT,28.11.2018,"500,00",,,"500,00","0,00",,,
GECT,29.11.2018,"500,00",,,"500,00","0,00",,,
GECT,30.11.2018,"500,00",,,"500,00","0,00",,,
GECT,03.12.2018,"500,00",,,"500,00","0,00",,,
GECT,04.12.2018,"500,00",,,"500,00","0,00",,,
GECT,05.12.2018,"500,00",,,"500,00","0,00",,,
GECT,06.12.2018,"500,00",,,"500,00","0,00",,,
GECT,07.12.2018,"500,00",,,"500,00","0,00",,,
GECT,10.12.2018,"500,00",,,"500,00","0,00",,,
GECT,11.12.2018,"500,00",,,"500,00","0,00",,,
GECT,12.12.2018,"500,00",,,"500,00","0,00",,,
GECT,13.12.2018,"500,00",,,"500,00","0,00",,,
GECT,14.12.2018,"500,00",,,"500,00","0,00",,,
GECT,17.12.2018,"500,00",,,"500,00","0,00",,,
GECT,18.12.2018,"500,00",,,"500,00","0,00",,,
GECT,19.12.2018,"500,00",,,"500,00","0,00",,,
GECT,20.12.2018,"500,00",,,"500,00","0,00",,,
GECT,21.12.2018,"500,00",,,"500,00","0,00",,,
GECT,24.12.2018,"500,00",,,"500,00","0,00",,,
GECT,25.12.2018,"500,00",,,"500,00","0,00",,,
GECT,26.12.2018,"500,00","500,00","500,00","500,00","0,00",1.182,591.0,591.0
GECT,27.12.2018,"500,00",,,"500,00","0,00",,,
GECT,28.12.2018,"500,00",,,"500,00","0,00",,,
GECT,02.01.2019,"500,00",,,"500,00","0,00",,,
GECT,03.01.2019,"500,00",,,"500,00","0,00",,,
GECT,04.01.2019,"500,00",,,"500,00","0,00",,,
GECT,08.01.2019,"500,00",,,"500,00","0,00",,,
GECT,09.01.2019,"500,00",,,"500,00","0,00",,,
GECT,10.01.2019,"500,00",,,"500,00","0,00",,,
GECT,11.01.2019,"500,00",,,"500,00","0,00",,,
GECT,14.01.2019,"500,00",,,"500,00","0,00",,,
GECT,15.01.2019,"500,00",,,"500,00","0,00",,,
GECT,16.01.2019,"500,00",,,"500,00","0,00",,,
GECT,17.01.2019,"500,00",,,"500,00","0,00",,,
GECT,18.01.2019,"500,00",,,"500,00","0,00",,,
GECT,21.01.2019,"500,00","500,00","500,00","500,00","0,00",1.132,566.0,566.0
GECT,22.01.2019,"500,00",,,"500,00","0,00",,,
GECT,23.01.2019,"500,00",,,"500,00","0,00",,,
GECT,24.01.2019,"500,00",,,"500,00","0,00",,,
GECT,25.01.2019,"500,00",,,"500,00","0,00",,,
GECT,28.01.2019,"500,00",,,"500,00","0,00",,,
GECT,29.01.2019,"500,00",,,"500,00","0,00",,,
GECT,30.01.2019,"500,00",,,"500,00","0,00",,,
GECT,31.01.2019,"500,00",,,"500,00","0,00",,,
GECT,01.02.2019,"500,00",,,"500,00","0,00",,,
GECT,04.02.2019,"500,00",,,"500,00","0,00",,,
GECT,05.02.2019,"500,00",,,"500,00","0,00",,,
GECT,06.02.2019,"500,00",,,"500,00","0,00",,,
GECT,07.02.2019,"500,00",,,"500,00","0,00",,,
GECT,08.02.2019,"500,00",,,"500,00","0,00",,,
GECT,11.02.2019,"500,00",,,"500,00","0,00",,,
GECT,12.02.2019,"500,00",,,"500,00","0,00",,,
GECT,13.02.2019,"500,00",,,"500,00","0,00",,,
GECT,14.02.2019,"500,00",,,"500,00","0,00",,,
GECT,15.02.2019,"500,00",,,"500,00","0,00",,,
GECT,18.02.2019,"500,00",,,"500,00","0,00",,,
GECT,19.02.2019,"500,00",,,"500,00","0,00",,,
GECT,20.02.2019,"500,00",,,"500,00","0,00",,,
GECT,21.02.2019,"500,00",,,"500,00","0,00",,,
GECT,22.02.2019,"500,00",,,"500,00","0,00",,,
GECT,25.02.2019,"500,00",,,"500,00","0,00",,,
GECT,26.02.2019,"500,00",,,"500,00","0,00",,,
GECT,27.02.2019,"500,00",,,"500,00","0,00",,,
GECT,28.02.2019,"500,00",,,"500,00","0,00",,,
GECT,01.03.2019,"500,00",,,"500,00","0,00",,,
GECT,04.03.2019,"500,00",,,"500,00","0,00",,,
GECT,05.03.2019,"500,00",,,"500,00","0,00",,,
GECT,06.03.2019,"500,00",,,"500,00","0,00",,,
GECT,07.03.2019,"500,00",,,"500,00","0,00",,,
GECT,08.03.2019,"500,00",,,"500,00","0,00",,,
GECT,11.03.2019,"500,00",,,"500,00","0,00",,,
GECT,12.03.2019,"500,00",,,"500,00","0,00",,,
GECT,13.03.2019,"500,00",,,"500,00","0,00",,,
GECT,14.03.2019,"500,00",,,"500,00","0,00",,,
GECT,15.03.2019,"500,00",,,"500,00","0,00",,,
GECT,18.03.2019,"500,00",,,"500,00","0,00",,,
GECT,19.03.2019,"500,00",,,"500,00","0,00",,,
GECT,20.03.2019,"500,00",,,"500,00","0,00",,,
GECT,21.03.2019,"500,00",,,"500,00","0,00",,,
GECT,22.03.2019,"500,00",,,"500,00","0,00",,,
GECT,25.03.2019,"500,00",,,"500,00","0,00",,,
GECT,26.03.2019,"500,00",,,"500,00","0,00",,,
GECT,27.03.2019,"500,00",,,"500,00","0,00",,,
GECT,28.03.2019,"500,00",,,"500,00","0,00",,,
GECT,29.03.2019,"500,00",,,"500,00","0,00",,,
GECT,01.04.2019,"500,00",,,"500,00","0,00",,,
GECT,02.04.2019,"500,00",,,"500,00","0,00",,,
GECT,03.04.2019,"500,00",,,"500,00","0,00",,,
GECT,04.04.2019,"500,00",,,"500,00","0,00",,,
GECT,05.04.2019,"500,00",,,"500,00","0,00",,,
GECT,08.04.2019,"500,00",,,"500,00","0,00",,,
GECT,09.04.2019,"500,00",,,"500,00","0,00",,,
GECT,10.04.2019,"500,00",,,"500,00","0,00",,,
GECT,11.04.2019,"500,00",,,"500,00","0,00",,,
GECT,12.04.2019,"500,00",,,"500,00","0,00",,,
GECT,15.04.2019,"500,00",,,"500,00","0,00",,,
GECT,16.04.2019,"500,00",,,"500,00","0,00",,,
GECT,17.04.2019,"500,00",,,"500,00","0,00",,,
GECT,18.04.2019,"500,00",,,"500,00","0,00",,,
GECT,19.04.2019,"500,00",,,"500,00","0,00",,,
GECT,22.04.2019,"500,00",,,"500,00","0,00",,,
GECT,23.04.2019,"500,00",,,"500,00","0,00",,,
GECT,24.04.2019,"500,00",,,"500,00","0,00",,,
GECT,25.04.2019,"500,00",,,"500,00","0,00",,,
GECT,30.04.2019,"500,00",,,"500,00","0,00",,,
GECT,02.05.2019,"500,00",,,"500,00","0,00",,,
GECT,03.05.2019,"500,00",,,"500,00","0,00",,,
GECT,06.05.2019,"500,00",,,"500,00","0,00",,,
GECT,07.05.2019,"500,00",,,"500,00","0,00",,,
GECT,08.05.2019,"500,00",,,"500,00","0,00",,,
GECT,09.05.2019,"500,00",,,"500,00","0,00",,,
GECT,10.05.2019,"500,00",,,"500,00","0,00",,,
GECT,13.05.2019,"500,00",,,"500,00","0,00",,,
GECT,14.05.2019,"500,00",,,"500,00","0,00",,,
GECT,15.05.2019,"500,00",,,"500,00","0,00",,,
GECT,16.05.2019,"500,00",,,"500,00","0,00",,,
GECT,17.05.2019,"500,00",,,"500,00","0,00",,,
GECT,20.05.2019,"500,00",,,"500,00","0,00",,,
GECT,21.05.2019,"500,00",,,"500,00","0,00",,,
GECT,22.05.2019,"500,00",,,"500,00","0,00",,,
GECT,23.05.2019,"500,00",,,"500,00","0,00",,,
GECT,27.05.2019,"500,00",,,"500,00","0,00",,,
GECT,28.05.2019,"500,00",,,"500,00","0,00",,,
GECT,29.05.2019,"500,00",,,"500,00","0,00",,,
GECT,30.05.2019,"500,00",,,"500,00","0,00",,,
GECT,31.05.2019,"500,00",,,"500,00","0,00",,,
GECT,03.06.2019,"500,00",,,"500,00","0,00",,,
GECT,05.06.2019,"500,00",,,"500,00","0,00",,,
GECT,06.06.2019,"500,00",,,"500,00","0,00",,,
GECT,07.06.2019,"500,00",,,"500,00","0,00",,,
GECT,10.06.2019,"500,00",,,"500,00","0,00",,,
GECT,11.06.2019,"500,00",,,"500,00","0,00",,,
GECT,12.06.2019,"500,00",,,"500,00","0,00",,,
GECT,13.06.2019,"500,00",,,"500,00","0,00",,,
GECT,17.06.2019,"500,00",,,"500,00","0,00",,,
GECT,18.06.2019,"500,00",,,"500,00","0,00",,,
GECT,19.06.2019,"500,00",,,"500,00","0,00",,,
GECT,20.06.2019,"500,00",,,"500,00","0,00",,,
GECT,21.06.2019,"500,00",,,"500,00","0,00",,,
GECT,24.06.2019,"500,00",,,"500,00","0,00",,,
GECT,25.06.2019,"500,00",,,"500,00","0,00",,,
GECT,26.06.2019,"500,00",,,"500,00","0,00",,,
GECT,27.06.2019,"500,00",,,"500,00","0,00",,,
GECT,28.06.2019,"500,00",,,"500,00","0,00",,,
GECT,01.07.2019,"500,00",,,"500,00","0,00",,,
GECT,02.07.2019,"500,00",,,"500,00","0,00",,,
GECT,03.07.2019,"500,00",,,"500,00","0,00",,,
GECT,04.07.2019,"500,00",,,"500,00","0,00",,,
GECT,05.07.2019,"500,00",,,"500,00","0,00",,,
GECT,08.07.2019,"500,00",,,"500,00","0,00",,,
GECT,09.07.2019,"500,00",,,"500,00","0,00",,,
GECT,10.07.2019,"500,00",,,"500,00","0,00",,,
GECT,11.07.2019,"500,00",,,"500,00","0,00",,,
GECT,12.07.2019,"500,00",,,"500,00","0,00",,,
GECT,15.07.2019,"500,00",,,"500,00","0,00",,,
GECT,16.07.2019,"500,00",,,"500,00","0,00",,,
GECT,17.07.2019,"500,00",,,"500,00","0,00",,,
GECT,18.07.2019,"500,00",,,"500,00","0,00",,,
GECT,19.07.2019,"500,00",,,"500,00","0,00",,,
GECT,22.07.2019,"500,00",,,"500,00","0,00",,,
GECT,23.07.2019,"500,00",,,"500,00","0,00",,,
GECT,24.07.2019,"500,00",,,"500,00","0,00",,,
GECT,25.07.2019,"500,00",,,"500,00","0,00",,,
GECT,26.07.2019,"500,00",,,"500,00","0,00",,,
GECT,29.07.2019,"500,00",,,"500,00","0,00",,,
GECT,30.07.2019,"500,00",,,"500,00","0,00",,,
GECT,31.07.2019,"500,00",,,"500,00","0,00",,,
GECT,01.08.2019,"500,00",,,"500,00","0,00",,,
GECT,05.08.2019,"500,00",,,"500,00","0,00",,,
GECT,06.08.2019,"500,00",,,"500,00","0,00",,,
GECT,07.08.2019,"500,00",,,"500,00","0,00",,,
GECT,08.08.2019,"500,00",,,"500,00","0,00",,,
GECT,09.08.2019,"500,00",,,"500,00","0,00",,,
GECT,12.08.2019,"500,00",,,"500,00","0,00",,,
GECT,13.08.2019,"500,00",,,"500,00","0,00",,,
GECT,14.08.2019,"500,00",,,"500,00","0,00",,,
GECT,15.08.2019,"500,00",,,"500,00","0,00",,,
GECT,16.08.2019,"500,00",,,"500,00","0,00",,,
GECT,19.08.2019,"500,00",,,"500,00","0,00",,,
GECT,20.08.2019,"500,00",,,"500,00","0,00",,,
GECT,21.08.2019,"500,00",,,"500,00","0,00",,,
GECT,22.08.2019,"500,00",,,"500,00","0,00",,,
GECT,23.08.2019,"500,00",,,"500,00","0,00",,,
GECT,26.08.2019,"500,00",,,"500,00","0,00",,,
GECT,27.08.2019,"500,00",,,"500,00","0,00",,,
GECT,29.08.2019,"500,00",,,"500,00","0,00",,,
GECT,30.08.2019,"500,00",,,"500,00","0,00",,,
GECT,02.09.2019,"500,00",,,"500,00","0,00",,,
GECT,03.09.2019,"500,00",,,"500,00","0,00",,,
GECT,04.09.2019,"500,00",,,"500,00","0,00",,,
GECT,05.09.2019,"500,00",,,"500,00","0,00",,,
GECT,06.09.2019,"500,00",,,"500,00","0,00",,,
GECT,10.09.2019,"500,00",,,"500,00","0,00",,,
GECT,11.09.2019,"500,00",,,"500,00","0,00",,,
GECT,12.09.2019,"500,00",,,"500,00","0,00",,,
GECT,13.09.2019,"500,00",,,"500,00","0,00",,,
GECT,16.09.2019,"500,00",,,"500,00","0,00",,,
GECT,17.09.2019,"500,00",,,"500,00","0,00",,,
GECT,18.09.2019,"500,00",,,"500,00","0,00",,,
GECT,19.09.2019,"500,00",,,"500,00","0,00",,,
GECT,20.09.2019,"500,00","500,00","500,00","500,00","0,00",799.0,399.5,399.5
GECT,23.09.2019,"500,00",,,"500,00","0,00",,,
GECT,24.09.2019,"500,00",,,"500,00","0,00",,,
GECT,25.09.2019,"500,00",,,"500,00","0,00",,,
GECT,26.09.2019,"500,00",,,"500,00","0,00",,,
GECT,27.09.2019,"500,00",,,"500,00","0,00",,,
GECT,30.09.2019,"500,00",,,"500,00","0,00",,,
GECT,01.10.2019,"500,00",,,"500,00","0,00",,,
GECT,02.10.2019,"500,00",,,"500,00","0,00",,,
GECT,03.10.2019,"500,00",,,"500,00","0,00",,,
GECT,04.10.2019,"500,00",,,"500,00","0,00",,,
GECT,07.10.2019,"500,00",,,"500,00","0,00",,,
GECT,08.10.2019,"500,00",,,"500,00","0,00",,,
GECT,09.10.2019,"500,00",,,"500,00","0,00",,,
GECT,10.10.2019,"500,00",,,"500,00","0,00",,,
GECT,14.10.2019,"500,00",,,"500,00","0,00",,,
GECT,15.10.2019,"500,00",,,"500,00","0,00",,,
GECT,16.10.2019,"500,00",,,"500,00","0,00",,,
GECT,17.10.2019,"500,00",,,"500,00","0,00",,,
GECT,18.10.2019,"500,00",,,"500,00","0,00",,,
GECT,21.10.2019,"500,00",,,"500,00","0,00",,,
GECT,22.10.2019,"500,00",,,"500,00","0,00",,,
GECT,24.10.2019,"500,00",,,"500,00","0,00",,,
GECT,25.10.2019,"500,00",,,"500,00","0,00",,,
GECT,28.10.2019,"500,00",,,"500,00","0,00",,,
GECT,29.10.2019,"500,00",,,"500,00","0,00",,,
GECT,30.10.2019,"500,00",,,"500,00","0,00",,,
GECT,31.10.2019,"500,00",,,"500,00","0,00",,,
GECT,01.11.2019,"500,00",,,"500,00","0,00",,,
GECT,04.11.2019,"500,00",,,"500,00","0,00",,,
GECT,05.11.2019,"500,00",,,"500,00","0,00",,,
GECT,06.11.2019,"500,00",,,"500,00","0,00",,,
GECT,07.11.2019,"500,00",,,"500,00","0,00",,,
GECT,08.11.2019,"500,00",,,"500,00","0,00",,,
GECT,11.11.2019,"500,00",,,"500,00","0,00",,,
GECT,12.11.2019,"500,00",,,"500,00","0,00",,,
GECT,13.11.2019,"500,00",,,"500,00","0,00",,,
GECT,14.11.2019,"500,00",,,"500,00","0,00",,,
GECT,15.11.2019,"500,00",,,"500,00","0,00",,,
GECT,18.11.2019,"500,00",,,"500,00","0,00",,,
GECT,19.11.2019,"500,00",,,"500,00","0,00",,,
GECT,20.11.2019,"500,00",,,"500,00","0,00",,,
GECT,21.11.2019,"500,00",,,"500,00","0,00",,,
GECT,22.11.2019,"500,00",,,"500,00","0,00",,,
GECT,25.11.2019,"500,00",,,"500,00","0,00",,,
GECT,26.11.2019,"500,00",,,"500,00","0,00",,,
GECT,27.11.2019,"500,00",,,"500,00","0,00",,,
GECT,28.11.2019,"500,00",,,"500,00","0,00",,,
GECT,29.11.2019,"500,00",,,"500,00","0,00",,,
GECT,02.12.2019,"500,00",,,"500,00","0,00",,,
GECT,03.12.2019,"500,00",,,"500,00","0,00",,,
GECT,04.12.2019,"500,00",,,"500,00","0,00",,,
GECT,05.12.2019,"500,00",,,"500,00","0,00",,,
GECT,06.12.2019,"500,00",,,"500,00","0,00",,,
GECT,10.12.2019,"500,00",,,"500,00","0,00",,,
GECT,11.12.2019,"500,00",,,"500,00","0,00",,,
GECT,12.12.2019,"500,00",,,"500,00","0,00",,,
GECT,13.12.2019,"500,00",,,"500,00","0,00",,,
GECT,16.12.2019,"500,00",,,"500,00","0,00",,,
GECT,17.12.2019,"500,00",,,"500,00","0,00",,,
GECT,18.12.2019,"500,00",,,"500,00","0,00",,,
GECT,19.12.2019,"500,00",,,"500,00","0,00",,,
GECT,20.12.2019,"500,00",,,"500,00","0,00",,,
GECT,23.12.2019,"500,00",,,"500,00","0,00",,,
GECT,24.12.2019,"500,00",,,"500,00","0,00",,,
GECT,25.12.2019,"500,00",,,"500,00","0,00",,,
GECT,26.12.2019,"500,00",,,"500,00","0,00",,,
GECT,27.12.2019,"500,00",,,"500,00","0,00",,,
GECT,30.12.2019,"500,00",,,"500,00","0,00",,,
GECT,02.01.2020,"500,00",,,"500,00","0,00",,,
GECT,03.01.2020,"500,00",,,"500,00","0,00",,,
GECT,08.01.2020,"500,00",,,"500,00","0,00",,,
GECT,09.01.2020,"500,00",,,"500,00","0,00",,,
GECT,10.01.2020,"500,00",,,"500,00","0,00",,,
GECT,13.01.2020,"500,00",,,"500,00","0,00",,,
GECT,14.01.2020,"500,00",,,"500,00","0,00",,,
GECT,15.01.2020,"500,00",,,"500,00","0,00",,,
GECT,16.01.2020,"500,00",,,"500,00","0,00",,,
GECT,17.01.2020,"500,00",,,"500,00","0,00",,,
GECT,20.01.2020,"500,00",,,"500,00","0,00",,,
GECT,21.01.2020,"500,00",,,"500,00","0,00",,,
GECT,22.01.2020,"500,00",,,"500,00","0,00",,,
GECT,23.01.2020,"500,00",,,"500,00","0,00",,,
GECT,24.01.2020,"500,00",,,"500,00","0,00",,,
GECT,27.01.2020,"500,00",,,"500,00","0,00",,,
GECT,28.01.2020,"500,00",,,"500,00","0,00",,,
GECT,29.01.2020,"500,00",,,"500,00","0,00",,,
GECT,30.01.2020,"500,00",,,"500,00","0,00",,,
GECT,31.01.2020,"500,00",,,"500,00","0,00",,,
GECT,03.02.2020,"500,00",,,"500,00","0,00",,,
GECT,04.02.2020,"500,00",,,"500,00","0,00",,,
GECT,05.02.2020,"500,00",,,"500,00","0,00",,,
GECT,06.02.2020,"500,00",,,"500,00","0,00",,,
GECT,07.02.2020,"500,00",,,"500,00","0,00",,,
GECT,10.02.2020,"500,00",,,"500,00","0,00",,,
GECT,11.02.2020,"500,00",,,"500,00","0,00",,,
GECT,12.02.2020,"500,00",,,"500,00","0,00",,,
GECT,13.02.2020,"500,00",,,"500,00","0,00",,,
GECT,14.02.2020,"500,00",,,"500,00","0,00",,,
GECT,17.02.2020,"500,00",,,"500,00","0,00",,,
GECT,18.02.2020,"500,00",,,"500,00","0,00",,,
GECT,19.02.2020,"500,00",,,"500,00","0,00",,,
GECT,20.02.2020,"500,00",,,"500,00","0,00",,,
GECT,21.02.2020,"500,00",,,"500,00","0,00",,,
GECT,24.02.2020,"500,00",,,"500,00","0,00",,,
GECT,25.02.2020,"500,00",,,"500,00","0,00",,,
GECT,26.02.2020,"500,00",,,"500,00","0,00",,,
GECT,27.02.2020,"500,00",,,"500,00","0,00",,,
GECT,28.02.2020,"500,00",,,"500,00","0,00",,,
GECT,02.03.2020,"500,00",,,"500,00","0,00",,,
GECT,03.03.2020,"500,00",,,"500,00","0,00",,,
GECT,04.03.2020,"500,00",,,"500,00","0,00",,,
GECT,05.03.2020,"500,00",,,"500,00","0,00",,,
GECT,06.03.2020,"500,00",,,"500,00","0,00",,,
GECT,09.03.2020,"500,00",,,"500,00","0,00",,,
GECT,10.03.2020,"500,00",,,"500,00","0,00",,,
GECT,11.03.2020,"500,00",,,"500,00","0,00",,,
GECT,12.03.2020,"500,00",,,"500,00","0,00",,,
GECT,13.03.2020,"500,00",,,"500,00","0,00",,,
GECT,16.03.2020,"500,00",,,"500,00","0,00",,,
GECT,17.03.2020,"500,00",,,"500,00","0,00",,,
GECT,18.03.2020,"500,00",,,"500,00","0,00",,,
GECT,19.03.2020,"500,00",,,"500,00","0,00",,,
GECT,20.03.2020,"500,00",,,"500,00","0,00",,,
GECT,23.03.2020,"500,00",,,"500,00","0,00",,,
GECT,24.03.2020,"500,00",,,"500,00","0,00",,,
GECT,25.03.2020,"500,00",,,"500,00","0,00",,,
GECT,26.03.2020,"500,00",,,"500,00","0,00",,,
GECT,27.03.2020,"500,00",,,"500,00","0,00",,,
GECT,30.03.2020,"500,00",,,"500,00","0,00",,,
GECT,31.03.2020,"500,00",,,"500,00","0,00",,,
GECT,01.04.2020,"500,00",,,"500,00","0,00",,,
GECT,02.04.2020,"500,00",,,"500,00","0,00",,,
GECT,03.04.2020,"500,00",,,"500,00","0,00",,,
GECT,06.04.2020,"500,00",,,"500,00","0,00",,,
GECT,07.04.2020,"500,00",,,"500,00","0,00",,,
GECT,08.04.2020,"500,00",,,"500,00","0,00",,,
GECT,09.04.2020,"500,00",,,"500,00","0,00",,,
GECT,10.04.2020,"500,00",,,"500,00","0,00",,,
GECT,13.04.2020,"500,00",,,"500,00","0,00",,,
GECT,14.04.2020,"500,00",,,"500,00","0,00",,,
GECT,15.04.2020,"500,00",,,"500,00","0,00",,,
GECT,16.04.2020,"500,00",,,"500,00","0,00",,,
GECT,21.04.2020,"500,00",,,"500,00","0,00",,,
GECT,22.04.2020,"500,00",,,"500,00","0,00",,,
GECT,23.04.2020,"500,00",,,"500,00","0,00",,,
GECT,24.04.2020,"500,00",,,"500,00","0,00",,,
GECT,27.04.2020,"500,00",,,"500,00","0,00",,,
GECT,28.04.2020,"500,00",,,"500,00","0,00",,,
GECT,29.04.2020,"500,00",,,"500,00","0,00",,,
GECT,30.04.2020,"500,00",,,"500,00","0,00",,,
GECT,04.05.2020,"500,00",,,"500,00","0,00",,,
GECT,05.05.2020,"500,00",,,"500,00","0,00",,,
GECT,06.05.2020,"500,00",,,"500,00","0,00",,,
GECT,07.05.2020,"500,00",,,"500,00","0,00",,,
GECT,08.05.2020,"500,00",,,"500,00","0,00",,,
GECT,11.05.2020,"500,00",,,"500,00","0,00",,,
GECT,12.05.2020,"500,00","500,00","500,00","500,00","0,00",832.0,416.0,416.0
GECT,13.05.2020,"500,00",,,"500,00","0,00",,,
GECT,14.05.2020,"500,00",,,"500,00","0,00",,,
GECT,15.05.2020,"500,00",,,"500,00","0,00",,,
GECT,18.05.2020,"500,00",,,"500,00","0,00",,,
GECT,19.05.2020,"500,00",,,"500,00","0,00",,,
GECT,20.05.2020,"500,00",,,"500,00","0,00",,,
GECT,21.05.2020,"500,00",,,"500,00","0,00",,,
GECT,22.05.2020,"500,00",,,"500,00","0,00",,,
GECT,26.05.2020,"500,00",,,"500,00","0,00",,,
GECT,27.05.2020,"500,00",,,"500,00","0,00",,,
GECT,28.05.2020,"500,00",,,"500,00","0,00",,,
GECT,29.05.2020,"500,00",,,"500,00","0,00",,,
GECT,01.06.2020,"500,00",,,"500,00","0,00",,,
GECT,02.06.2020,"500,00",,,"500,00","0,00",,,
GECT,03.06.2020,"500,00",,,"500,00","0,00",,,
GECT,04.06.2020,"500,00",,,"500,00","0,00",,,
GECT,08.06.2020,"500,00",,,"500,00","0,00",,,
GECT,09.06.2020,"500,00",,,"500,00","0,00",,,
GECT,10.06.2020,"500,00",,,"500,00","0,00",,,
GECT,11.06.2020,"500,00",,,"500,00","0,00",,,
GECT,12.06.2020,"500,00",,,"500,00","0,00",,,
GECT,15.06.2020,"500,00",,,"500,00","0,00",,,
GECT,16.06.2020,"500,00",,,"500,00","0,00",,,
GECT,17.06.2020,"500,00",,,"500,00","0,00",,,
GECT,18.06.2020,"500,00",,,"500,00","0,00",,,
GECT,19.06.2020,"500,00",,,"500,00","0,00",,,
GECT,22.06.2020,"500,00",,,"500,00","0,00",,,
GECT,23.06.2020,"500,00",,,"500,00","0,00",,,
GECT,24.06.2020,"500,00",,,"500,00","0,00",,,
GECT,25.06.2020,"500,00",,,"500,00","0,00",,,
GECT,26.06.2020,"500,00",,,"500,00","0,00",,,
GECT,29.06.2020,"500,00",,,"500,00","0,00",,,
GECT,30.06.2020,"500,00",,,"500,00","0,00",,,
GECT,01.07.2020,"500,00",,,"500,00","0,00",,,
GECT,02.07.2020,"500,00",,,"500,00","0,00",,,
GECT,03.07.2020,"500,00",,,"500,00","0,00",,,
GECT,06.07.2020,"500,00",,,"500,00","0,00",,,
GECT,07.07.2020,"500,00",,,"500,00","0,00",,,
GECT,08.07.2020,"500,00",,,"500,00","0,00",,,
